出発駅,出発路線,到着駅,到着路線,最短営業キロ,運賃_きっぷ,運賃_IC
浅草,銀座線,田原町,銀座線,0.8,180,178
浅草,銀座線,稲荷町,銀座線,1.5,180,178
浅草,銀座線,上野,銀座線/日比谷線,2.2,180,178
浅草,銀座線,上野広小路/仲御徒町,銀座線/日比谷線,2.7,180,178
浅草,銀座線,末広町,銀座線,3.3,180,178
浅草,銀座線,神田,銀座線,4.4,180,178
浅草,銀座線,三越前,銀座線/半蔵門線,5.1,180,178
浅草,銀座線,日本橋,銀座線/東西線,5.7,180,178
浅草,銀座線,京橋,銀座線,6.4,210,209
浅草,銀座線,銀座/銀座一丁目,銀座線/丸ノ内線/日比谷線/有楽町線,7.1,210,209
浅草,銀座線,新橋,銀座線,8.0,210,209
浅草,銀座線,虎ノ門/虎ノ門ヒルズ,銀座線/日比谷線,8.8,210,209
浅草,銀座線,溜池山王/国会議事堂前,銀座線/丸ノ内線/千代田線/南北線,8.8,210,209
浅草,銀座線,赤坂見附/永田町,銀座線/丸ノ内線/有楽町線/半蔵門線/南北線,9.1,210,209
浅草,銀座線,青山一丁目,銀座線/半蔵門線,10.4,210,209
浅草,銀座線,外苑前,銀座線,11.1,260,252
浅草,銀座線,表参道,銀座線/千代田線/半蔵門線,11.8,260,252
浅草,銀座線,渋谷,銀座線/半蔵門線/副都心線,13.1,260,252
浅草,銀座線,池袋,丸ノ内線/有楽町線/副都心線,13.4,260,252
浅草,銀座線,新大塚,丸ノ内線,12.1,260,252
浅草,銀座線,茗荷谷,丸ノ内線,10.9,210,209
浅草,銀座線,後楽園,丸ノ内線/南北線,9.1,210,209
浅草,銀座線,本郷三丁目,丸ノ内線,8.3,210,209
浅草,銀座線,御茶ノ水,丸ノ内線,7.5,210,209
浅草,銀座線,淡路町/新御茶ノ水,丸ノ内線/千代田線,6.7,210,209
浅草,銀座線,大手町,丸ノ内線/東西線/千代田線/半蔵門線,5.8,180,178
浅草,銀座線,東京,丸ノ内線,6.4,210,209
浅草,銀座線,霞ケ関,丸ノ内線/日比谷線/千代田線,8.1,210,209
浅草,銀座線,四ツ谷,丸ノ内線/南北線,10.4,210,209
浅草,銀座線,四谷三丁目,丸ノ内線,11.4,260,252
浅草,銀座線,新宿御苑前,丸ノ内線,12.3,260,252
浅草,銀座線,新宿三丁目,丸ノ内線/副都心線,13.0,260,252
浅草,銀座線,新宿,丸ノ内線,13.3,260,252
浅草,銀座線,西新宿,丸ノ内線,14.1,260,252
浅草,銀座線,中野坂上,丸ノ内線,15.2,260,252
浅草,銀座線,新中野,丸ノ内線,16.3,260,252
浅草,銀座線,東高円寺,丸ノ内線,17.3,260,252
浅草,銀座線,新高円寺,丸ノ内線,18.2,260,252
浅草,銀座線,南阿佐ケ谷,丸ノ内線,19.4,300,293
浅草,銀座線,荻窪,丸ノ内線,20.9,300,293
浅草,銀座線,中野新橋,丸ノ内線支線,16.5,260,252
浅草,銀座線,中野富士見町,丸ノ内線支線,17.1,260,252
浅草,銀座線,方南町,丸ノ内線支線,18.4,260,252
浅草,銀座線,北千住,日比谷線/千代田線,7.5,210,209
浅草,銀座線,南千住,日比谷線,5.4,180,178
浅草,銀座線,三ノ輪,日比谷線,4.6,180,178
浅草,銀座線,入谷,日比谷線,3.4,180,178
浅草,銀座線,秋葉原,日比谷線,3.7,180,178
浅草,銀座線,小伝馬町,日比谷線,4.6,180,178
浅草,銀座線,人形町/水天宮前,日比谷線/半蔵門線,5.2,180,178
浅草,銀座線,茅場町,日比谷線/東西線,6.1,210,209
浅草,銀座線,八丁堀,日比谷線,6.6,210,209
浅草,銀座線,築地/新富町,日比谷線/有楽町線,7.6,210,209
浅草,銀座線,東銀座,日比谷線,7.5,210,209
浅草,銀座線,日比谷/有楽町,日比谷線/千代田線/有楽町線,7.2,210,209
浅草,銀座線,神谷町,日比谷線,9.3,210,209
浅草,銀座線,六本木,日比谷線,10.8,210,209
浅草,銀座線,広尾,日比谷線,12.5,260,252
浅草,銀座線,恵比寿,日比谷線,14.0,260,252
浅草,銀座線,中目黒,日比谷線,15.0,260,252
浅草,銀座線,中野,東西線,16.5,260,252
浅草,銀座線,落合,東西線,14.5,260,252
浅草,銀座線,高田馬場,東西線,12.6,260,252
浅草,銀座線,早稲田,東西線,10.9,210,209
浅草,銀座線,神楽坂,東西線,9.7,210,209
浅草,銀座線,飯田橋,東西線/有楽町線/南北線,8.5,210,209
浅草,銀座線,九段下,東西線/半蔵門線,7.8,210,209
浅草,銀座線,竹橋,東西線,6.8,210,209
浅草,銀座線,門前仲町,東西線,7.9,210,209
浅草,銀座線,木場,東西線,9.0,210,209
浅草,銀座線,東陽町,東西線,9.9,210,209
浅草,銀座線,南砂町,東西線,11.1,260,252
浅草,銀座線,西葛西,東西線,13.8,260,252
浅草,銀座線,葛西,東西線,15.0,260,252
浅草,銀座線,浦安,東西線,16.9,260,252
浅草,銀座線,南行徳,東西線,18.1,260,252
浅草,銀座線,行徳,東西線,19.6,300,293
浅草,銀座線,妙典,東西線,20.9,300,293
浅草,銀座線,原木中山,東西線,23.0,300,293
浅草,銀座線,西船橋,東西線,24.9,300,293
浅草,銀座線,北綾瀬,千代田線,12.1,260,252
浅草,銀座線,綾瀬,千代田線,10.0,210,209
浅草,銀座線,町屋,千代田線,10.1,210,209
浅草,銀座線,西日暮里,千代田線,11.0,210,209
浅草,銀座線,千駄木,千代田線,10.1,210,209
浅草,銀座線,根津,千代田線,9.1,210,209
浅草,銀座線,湯島,千代田線,7.9,210,209
浅草,銀座線,二重橋前,千代田線,6.5,210,209
浅草,銀座線,赤坂,千代田線,9.6,210,209
浅草,銀座線,乃木坂,千代田線,10.7,210,209
浅草,銀座線,明治神宮前,千代田線/副都心線,12.7,260,252
浅草,銀座線,代々木公園,千代田線,13.9,260,252
浅草,銀座線,代々木上原,千代田線,14.9,260,252
浅草,銀座線,和光市,有楽町線,24.9,300,293
浅草,銀座線,地下鉄成増,有楽町線,22.7,300,293
浅草,銀座線,地下鉄赤塚,有楽町線,21.3,300,293
浅草,銀座線,平和台,有楽町線,19.5,300,293
浅草,銀座線,氷川台,有楽町線,18.1,260,252
浅草,銀座線,小竹向原,有楽町線/副都心線,16.6,260,252
浅草,銀座線,千川,有楽町線/副都心線,15.6,260,252
浅草,銀座線,要町,有楽町線/副都心線,14.6,260,252
浅草,銀座線,東池袋,有楽町線,12.5,260,252
浅草,銀座線,護国寺,有楽町線,11.4,260,252
浅草,銀座線,江戸川橋,有楽町線,10.1,210,209
浅草,銀座線,市ケ谷,有楽町線/南北線,9.6,210,209
浅草,銀座線,麴町,有楽町線,10.0,210,209
浅草,銀座線,桜田門,有楽町線,8.2,210,209
浅草,銀座線,月島,有楽町線,8.9,210,209
浅草,銀座線,豊洲,有楽町線,10.3,210,209
浅草,銀座線,辰巳,有楽町線,12.0,260,252
浅草,銀座線,新木場,有楽町線,13.5,260,252
浅草,銀座線,半蔵門,半蔵門線,9.4,210,209
浅草,銀座線,神保町,半蔵門線,7.5,210,209
浅草,銀座線,清澄白河,半蔵門線,6.9,210,209
浅草,銀座線,住吉,半蔵門線,8.8,210,209
浅草,銀座線,錦糸町,半蔵門線,9.8,210,209
浅草,銀座線,押上,半蔵門線,11.2,260,252
浅草,銀座線,目黒,南北線,14.5,260,252
浅草,銀座線,白金台,南北線,13.2,260,252
浅草,銀座線,白金高輪,南北線,12.2,260,252
浅草,銀座線,麻布十番,南北線,10.9,210,209
浅草,銀座線,六本木一丁目,南北線,9.7,210,209
浅草,銀座線,東大前,南北線,10.4,210,209
浅草,銀座線,本駒込,南北線,11.3,260,252
浅草,銀座線,駒込,南北線,12.7,260,252
浅草,銀座線,西ケ原,南北線,14.1,260,252
浅草,銀座線,王子,南北線,15.1,260,252
浅草,銀座線,王子神谷,南北線,16.3,260,252
浅草,銀座線,志茂,南北線,17.9,260,252
浅草,銀座線,赤羽岩淵,南北線,19.0,260,252
浅草,銀座線,雑司が谷,副都心線,15.2,260,252
浅草,銀座線,西早稲田,副都心線,15.0,260,252
浅草,銀座線,東新宿,副都心線,14.1,260,252
浅草,銀座線,北参道,副都心線,13.9,260,252
田原町,銀座線,稲荷町,銀座線,0.7,180,178
田原町,銀座線,上野,銀座線/日比谷線,1.4,180,178
田原町,銀座線,上野広小路/仲御徒町,銀座線/日比谷線,1.9,180,178
田原町,銀座線,末広町,銀座線,2.5,180,178
田原町,銀座線,神田,銀座線,3.6,180,178
田原町,銀座線,三越前,銀座線/半蔵門線,4.3,180,178
田原町,銀座線,日本橋,銀座線/東西線,4.9,180,178
田原町,銀座線,京橋,銀座線,5.6,180,178
田原町,銀座線,銀座/銀座一丁目,銀座線/丸ノ内線/日比谷線/有楽町線,6.3,210,209
田原町,銀座線,新橋,銀座線,7.2,210,209
田原町,銀座線,虎ノ門/虎ノ門ヒルズ,銀座線/日比谷線,8.0,210,209
田原町,銀座線,溜池山王/国会議事堂前,銀座線/丸ノ内線/千代田線/南北線,8.0,210,209
田原町,銀座線,赤坂見附/永田町,銀座線/丸ノ内線/有楽町線/半蔵門線/南北線,8.3,210,209
田原町,銀座線,青山一丁目,銀座線/半蔵門線,9.6,210,209
田原町,銀座線,外苑前,銀座線,10.3,210,209
田原町,銀座線,表参道,銀座線/千代田線/半蔵門線,11.0,210,209
田原町,銀座線,渋谷,銀座線/半蔵門線/副都心線,12.3,260,252
田原町,銀座線,池袋,丸ノ内線/有楽町線/副都心線,12.6,260,252
田原町,銀座線,新大塚,丸ノ内線,11.3,260,252
田原町,銀座線,茗荷谷,丸ノ内線,10.1,210,209
田原町,銀座線,後楽園,丸ノ内線/南北線,8.3,210,209
田原町,銀座線,本郷三丁目,丸ノ内線,7.5,210,209
田原町,銀座線,御茶ノ水,丸ノ内線,6.7,210,209
田原町,銀座線,淡路町/新御茶ノ水,丸ノ内線/千代田線,5.9,180,178
田原町,銀座線,大手町,丸ノ内線/東西線/千代田線/半蔵門線,5.0,180,178
田原町,銀座線,東京,丸ノ内線,5.6,180,178
田原町,銀座線,霞ケ関,丸ノ内線/日比谷線/千代田線,7.3,210,209
田原町,銀座線,四ツ谷,丸ノ内線/南北線,9.6,210,209
田原町,銀座線,四谷三丁目,丸ノ内線,10.6,210,209
田原町,銀座線,新宿御苑前,丸ノ内線,11.5,260,252
田原町,銀座線,新宿三丁目,丸ノ内線/副都心線,12.2,260,252
田原町,銀座線,新宿,丸ノ内線,12.5,260,252
田原町,銀座線,西新宿,丸ノ内線,13.3,260,252
田原町,銀座線,中野坂上,丸ノ内線,14.4,260,252
田原町,銀座線,新中野,丸ノ内線,15.5,260,252
田原町,銀座線,東高円寺,丸ノ内線,16.5,260,252
田原町,銀座線,新高円寺,丸ノ内線,17.4,260,252
田原町,銀座線,南阿佐ケ谷,丸ノ内線,18.6,260,252
田原町,銀座線,荻窪,丸ノ内線,20.1,300,293
田原町,銀座線,中野新橋,丸ノ内線支線,15.7,260,252
田原町,銀座線,中野富士見町,丸ノ内線支線,16.3,260,252
田原町,銀座線,方南町,丸ノ内線支線,17.6,260,252
田原町,銀座線,北千住,日比谷線/千代田線,6.7,210,209
田原町,銀座線,南千住,日比谷線,4.6,180,178
田原町,銀座線,三ノ輪,日比谷線,3.8,180,178
田原町,銀座線,入谷,日比谷線,2.6,180,178
田原町,銀座線,秋葉原,日比谷線,2.9,180,178
田原町,銀座線,小伝馬町,日比谷線,3.8,180,178
田原町,銀座線,人形町/水天宮前,日比谷線/半蔵門線,4.4,180,178
田原町,銀座線,茅場町,日比谷線/東西線,5.3,180,178
田原町,銀座線,八丁堀,日比谷線,5.8,180,178
田原町,銀座線,築地/新富町,日比谷線/有楽町線,6.8,210,209
田原町,銀座線,東銀座,日比谷線,6.7,210,209
田原町,銀座線,日比谷/有楽町,日比谷線/千代田線/有楽町線,6.4,210,209
田原町,銀座線,神谷町,日比谷線,8.5,210,209
田原町,銀座線,六本木,日比谷線,10.0,210,209
田原町,銀座線,広尾,日比谷線,11.7,260,252
田原町,銀座線,恵比寿,日比谷線,13.2,260,252
田原町,銀座線,中目黒,日比谷線,14.2,260,252
田原町,銀座線,中野,東西線,15.7,260,252
田原町,銀座線,落合,東西線,13.7,260,252
田原町,銀座線,高田馬場,東西線,11.8,260,252
田原町,銀座線,早稲田,東西線,10.1,210,209
田原町,銀座線,神楽坂,東西線,8.9,210,209
田原町,銀座線,飯田橋,東西線/有楽町線/南北線,7.7,210,209
田原町,銀座線,九段下,東西線/半蔵門線,7.0,210,209
田原町,銀座線,竹橋,東西線,6.0,180,178
田原町,銀座線,門前仲町,東西線,7.1,210,209
田原町,銀座線,木場,東西線,8.2,210,209
田原町,銀座線,東陽町,東西線,9.1,210,209
田原町,銀座線,南砂町,東西線,10.3,210,209
田原町,銀座線,西葛西,東西線,13.0,260,252
田原町,銀座線,葛西,東西線,14.2,260,252
田原町,銀座線,浦安,東西線,16.1,260,252
田原町,銀座線,南行徳,東西線,17.3,260,252
田原町,銀座線,行徳,東西線,18.8,260,252
田原町,銀座線,妙典,東西線,20.1,300,293
田原町,銀座線,原木中山,東西線,22.2,300,293
田原町,銀座線,西船橋,東西線,24.1,300,293
田原町,銀座線,北綾瀬,千代田線,11.3,260,252
田原町,銀座線,綾瀬,千代田線,9.2,210,209
田原町,銀座線,町屋,千代田線,9.3,210,209
田原町,銀座線,西日暮里,千代田線,10.2,210,209
田原町,銀座線,千駄木,千代田線,9.3,210,209
田原町,銀座線,根津,千代田線,8.3,210,209
田原町,銀座線,湯島,千代田線,7.1,210,209
田原町,銀座線,二重橋前,千代田線,5.7,180,178
田原町,銀座線,赤坂,千代田線,8.8,210,209
田原町,銀座線,乃木坂,千代田線,9.9,210,209
田原町,銀座線,明治神宮前,千代田線/副都心線,11.9,260,252
田原町,銀座線,代々木公園,千代田線,13.1,260,252
田原町,銀座線,代々木上原,千代田線,14.1,260,252
田原町,銀座線,和光市,有楽町線,24.1,300,293
田原町,銀座線,地下鉄成増,有楽町線,21.9,300,293
田原町,銀座線,地下鉄赤塚,有楽町線,20.5,300,293
田原町,銀座線,平和台,有楽町線,18.7,260,252
田原町,銀座線,氷川台,有楽町線,17.3,260,252
田原町,銀座線,小竹向原,有楽町線/副都心線,15.8,260,252
田原町,銀座線,千川,有楽町線/副都心線,14.8,260,252
田原町,銀座線,要町,有楽町線/副都心線,13.8,260,252
田原町,銀座線,東池袋,有楽町線,11.7,260,252
田原町,銀座線,護国寺,有楽町線,10.6,210,209
田原町,銀座線,江戸川橋,有楽町線,9.3,210,209
田原町,銀座線,市ケ谷,有楽町線/南北線,8.8,210,209
田原町,銀座線,麴町,有楽町線,9.2,210,209
田原町,銀座線,桜田門,有楽町線,7.4,210,209
田原町,銀座線,月島,有楽町線,8.1,210,209
田原町,銀座線,豊洲,有楽町線,9.5,210,209
田原町,銀座線,辰巳,有楽町線,11.2,260,252
田原町,銀座線,新木場,有楽町線,12.7,260,252
田原町,銀座線,半蔵門,半蔵門線,8.6,210,209
田原町,銀座線,神保町,半蔵門線,6.7,210,209
田原町,銀座線,清澄白河,半蔵門線,6.1,210,209
田原町,銀座線,住吉,半蔵門線,8.0,210,209
田原町,銀座線,錦糸町,半蔵門線,9.0,210,209
田原町,銀座線,押上,半蔵門線,10.4,210,209
田原町,銀座線,目黒,南北線,13.7,260,252
田原町,銀座線,白金台,南北線,12.4,260,252
田原町,銀座線,白金高輪,南北線,11.4,260,252
田原町,銀座線,麻布十番,南北線,10.1,210,209
田原町,銀座線,六本木一丁目,南北線,8.9,210,209
田原町,銀座線,東大前,南北線,9.6,210,209
田原町,銀座線,本駒込,南北線,10.5,210,209
田原町,銀座線,駒込,南北線,11.9,260,252
田原町,銀座線,西ケ原,南北線,13.3,260,252
田原町,銀座線,王子,南北線,14.3,260,252
田原町,銀座線,王子神谷,南北線,15.5,260,252
田原町,銀座線,志茂,南北線,17.1,260,252
田原町,銀座線,赤羽岩淵,南北線,18.2,260,252
田原町,銀座線,雑司が谷,副都心線,14.4,260,252
田原町,銀座線,西早稲田,副都心線,14.2,260,252
田原町,銀座線,東新宿,副都心線,13.3,260,252
田原町,銀座線,北参道,副都心線,13.1,260,252
稲荷町,銀座線,上野,銀座線/日比谷線,0.7,180,178
稲荷町,銀座線,上野広小路/仲御徒町,銀座線/日比谷線,1.2,180,178
稲荷町,銀座線,末広町,銀座線,1.8,180,178
稲荷町,銀座線,神田,銀座線,2.9,180,178
稲荷町,銀座線,三越前,銀座線/半蔵門線,3.6,180,178
稲荷町,銀座線,日本橋,銀座線/東西線,4.2,180,178
稲荷町,銀座線,京橋,銀座線,4.9,180,178
稲荷町,銀座線,銀座/銀座一丁目,銀座線/丸ノ内線/日比谷線/有楽町線,5.6,180,178
稲荷町,銀座線,新橋,銀座線,6.5,210,209
稲荷町,銀座線,虎ノ門/虎ノ門ヒルズ,銀座線/日比谷線,7.3,210,209
稲荷町,銀座線,溜池山王/国会議事堂前,銀座線/丸ノ内線/千代田線/南北線,7.3,210,209
稲荷町,銀座線,赤坂見附/永田町,銀座線/丸ノ内線/有楽町線/半蔵門線/南北線,7.6,210,209
稲荷町,銀座線,青山一丁目,銀座線/半蔵門線,8.9,210,209
稲荷町,銀座線,外苑前,銀座線,9.6,210,209
稲荷町,銀座線,表参道,銀座線/千代田線/半蔵門線,10.3,210,209
稲荷町,銀座線,渋谷,銀座線/半蔵門線/副都心線,11.6,260,252
稲荷町,銀座線,池袋,丸ノ内線/有楽町線/副都心線,11.9,260,252
稲荷町,銀座線,新大塚,丸ノ内線,10.6,210,209
稲荷町,銀座線,茗荷谷,丸ノ内線,9.4,210,209
稲荷町,銀座線,後楽園,丸ノ内線/南北線,7.6,210,209
稲荷町,銀座線,本郷三丁目,丸ノ内線,6.8,210,209
稲荷町,銀座線,御茶ノ水,丸ノ内線,6.0,180,178
稲荷町,銀座線,淡路町/新御茶ノ水,丸ノ内線/千代田線,5.2,180,178
稲荷町,銀座線,大手町,丸ノ内線/東西線/千代田線/半蔵門線,4.3,180,178
稲荷町,銀座線,東京,丸ノ内線,4.9,180,178
稲荷町,銀座線,霞ケ関,丸ノ内線/日比谷線/千代田線,6.6,210,209
稲荷町,銀座線,四ツ谷,丸ノ内線/南北線,8.9,210,209
稲荷町,銀座線,四谷三丁目,丸ノ内線,9.9,210,209
稲荷町,銀座線,新宿御苑前,丸ノ内線,10.8,210,209
稲荷町,銀座線,新宿三丁目,丸ノ内線/副都心線,11.5,260,252
稲荷町,銀座線,新宿,丸ノ内線,11.8,260,252
稲荷町,銀座線,西新宿,丸ノ内線,12.6,260,252
稲荷町,銀座線,中野坂上,丸ノ内線,13.7,260,252
稲荷町,銀座線,新中野,丸ノ内線,14.8,260,252
稲荷町,銀座線,東高円寺,丸ノ内線,15.8,260,252
稲荷町,銀座線,新高円寺,丸ノ内線,16.7,260,252
稲荷町,銀座線,南阿佐ケ谷,丸ノ内線,17.9,260,252
稲荷町,銀座線,荻窪,丸ノ内線,19.4,300,293
稲荷町,銀座線,中野新橋,丸ノ内線支線,15.0,260,252
稲荷町,銀座線,中野富士見町,丸ノ内線支線,15.6,260,252
稲荷町,銀座線,方南町,丸ノ内線支線,16.9,260,252
稲荷町,銀座線,北千住,日比谷線/千代田線,6.0,180,178
稲荷町,銀座線,南千住,日比谷線,3.9,180,178
稲荷町,銀座線,三ノ輪,日比谷線,3.1,180,178
稲荷町,銀座線,入谷,日比谷線,1.9,180,178
稲荷町,銀座線,秋葉原,日比谷線,2.2,180,178
稲荷町,銀座線,小伝馬町,日比谷線,3.1,180,178
稲荷町,銀座線,人形町/水天宮前,日比谷線/半蔵門線,3.7,180,178
稲荷町,銀座線,茅場町,日比谷線/東西線,4.6,180,178
稲荷町,銀座線,八丁堀,日比谷線,5.1,180,178
稲荷町,銀座線,築地/新富町,日比谷線/有楽町線,6.1,210,209
稲荷町,銀座線,東銀座,日比谷線,6.0,180,178
稲荷町,銀座線,日比谷/有楽町,日比谷線/千代田線/有楽町線,5.7,180,178
稲荷町,銀座線,神谷町,日比谷線,7.8,210,209
稲荷町,銀座線,六本木,日比谷線,9.3,210,209
稲荷町,銀座線,広尾,日比谷線,11.0,210,209
稲荷町,銀座線,恵比寿,日比谷線,12.5,260,252
稲荷町,銀座線,中目黒,日比谷線,13.5,260,252
稲荷町,銀座線,中野,東西線,15.0,260,252
稲荷町,銀座線,落合,東西線,13.0,260,252
稲荷町,銀座線,高田馬場,東西線,11.1,260,252
稲荷町,銀座線,早稲田,東西線,9.4,210,209
稲荷町,銀座線,神楽坂,東西線,8.2,210,209
稲荷町,銀座線,飯田橋,東西線/有楽町線/南北線,7.0,210,209
稲荷町,銀座線,九段下,東西線/半蔵門線,6.3,210,209
稲荷町,銀座線,竹橋,東西線,5.3,180,178
稲荷町,銀座線,門前仲町,東西線,6.4,210,209
稲荷町,銀座線,木場,東西線,7.5,210,209
稲荷町,銀座線,東陽町,東西線,8.4,210,209
稲荷町,銀座線,南砂町,東西線,9.6,210,209
稲荷町,銀座線,西葛西,東西線,12.3,260,252
稲荷町,銀座線,葛西,東西線,13.5,260,252
稲荷町,銀座線,浦安,東西線,15.4,260,252
稲荷町,銀座線,南行徳,東西線,16.6,260,252
稲荷町,銀座線,行徳,東西線,18.1,260,252
稲荷町,銀座線,妙典,東西線,19.4,300,293
稲荷町,銀座線,原木中山,東西線,21.5,300,293
稲荷町,銀座線,西船橋,東西線,23.4,300,293
稲荷町,銀座線,北綾瀬,千代田線,10.6,210,209
稲荷町,銀座線,綾瀬,千代田線,8.5,210,209
稲荷町,銀座線,町屋,千代田線,8.6,210,209
稲荷町,銀座線,西日暮里,千代田線,9.5,210,209
稲荷町,銀座線,千駄木,千代田線,8.6,210,209
稲荷町,銀座線,根津,千代田線,7.6,210,209
稲荷町,銀座線,湯島,千代田線,6.4,210,209
稲荷町,銀座線,二重橋前,千代田線,5.0,180,178
稲荷町,銀座線,赤坂,千代田線,8.1,210,209
稲荷町,銀座線,乃木坂,千代田線,9.2,210,209
稲荷町,銀座線,明治神宮前,千代田線/副都心線,11.2,260,252
稲荷町,銀座線,代々木公園,千代田線,12.4,260,252
稲荷町,銀座線,代々木上原,千代田線,13.4,260,252
稲荷町,銀座線,和光市,有楽町線,23.4,300,293
稲荷町,銀座線,地下鉄成増,有楽町線,21.2,300,293
稲荷町,銀座線,地下鉄赤塚,有楽町線,19.8,300,293
稲荷町,銀座線,平和台,有楽町線,18.0,260,252
稲荷町,銀座線,氷川台,有楽町線,16.6,260,252
稲荷町,銀座線,小竹向原,有楽町線/副都心線,15.1,260,252
稲荷町,銀座線,千川,有楽町線/副都心線,14.1,260,252
稲荷町,銀座線,要町,有楽町線/副都心線,13.1,260,252
稲荷町,銀座線,東池袋,有楽町線,11.0,210,209
稲荷町,銀座線,護国寺,有楽町線,9.9,210,209
稲荷町,銀座線,江戸川橋,有楽町線,8.6,210,209
稲荷町,銀座線,市ケ谷,有楽町線/南北線,8.1,210,209
稲荷町,銀座線,麴町,有楽町線,8.5,210,209
稲荷町,銀座線,桜田門,有楽町線,6.7,210,209
稲荷町,銀座線,月島,有楽町線,7.4,210,209
稲荷町,銀座線,豊洲,有楽町線,8.8,210,209
稲荷町,銀座線,辰巳,有楽町線,10.5,210,209
稲荷町,銀座線,新木場,有楽町線,12.0,260,252
稲荷町,銀座線,半蔵門,半蔵門線,7.9,210,209
稲荷町,銀座線,神保町,半蔵門線,6.0,180,178
稲荷町,銀座線,清澄白河,半蔵門線,5.4,180,178
稲荷町,銀座線,住吉,半蔵門線,7.3,210,209
稲荷町,銀座線,錦糸町,半蔵門線,8.3,210,209
稲荷町,銀座線,押上,半蔵門線,9.7,210,209
稲荷町,銀座線,目黒,南北線,13.0,260,252
稲荷町,銀座線,白金台,南北線,11.7,260,252
稲荷町,銀座線,白金高輪,南北線,10.7,210,209
稲荷町,銀座線,麻布十番,南北線,9.4,210,209
稲荷町,銀座線,六本木一丁目,南北線,8.2,210,209
稲荷町,銀座線,東大前,南北線,8.9,210,209
稲荷町,銀座線,本駒込,南北線,9.8,210,209
稲荷町,銀座線,駒込,南北線,11.2,260,252
稲荷町,銀座線,西ケ原,南北線,12.6,260,252
稲荷町,銀座線,王子,南北線,13.6,260,252
稲荷町,銀座線,王子神谷,南北線,14.8,260,252
稲荷町,銀座線,志茂,南北線,16.4,260,252
稲荷町,銀座線,赤羽岩淵,南北線,17.5,260,252
稲荷町,銀座線,雑司が谷,副都心線,13.7,260,252
稲荷町,銀座線,西早稲田,副都心線,13.5,260,252
稲荷町,銀座線,東新宿,副都心線,12.6,260,252
稲荷町,銀座線,北参道,副都心線,12.4,260,252
上野,銀座線/日比谷線,上野広小路/仲御徒町,銀座線/日比谷線,0.5,180,178
上野,銀座線/日比谷線,末広町,銀座線,1.1,180,178
上野,銀座線/日比谷線,神田,銀座線,2.2,180,178
上野,銀座線/日比谷線,三越前,銀座線/半蔵門線,2.9,180,178
上野,銀座線/日比谷線,日本橋,銀座線/東西線,3.5,180,178
上野,銀座線/日比谷線,京橋,銀座線,4.2,180,178
上野,銀座線/日比谷線,銀座/銀座一丁目,銀座線/丸ノ内線/日比谷線/有楽町線,4.9,180,178
上野,銀座線/日比谷線,新橋,銀座線,5.8,180,178
上野,銀座線/日比谷線,虎ノ門/虎ノ門ヒルズ,銀座線/日比谷線,6.6,210,209
上野,銀座線/日比谷線,溜池山王/国会議事堂前,銀座線/丸ノ内線/千代田線/南北線,6.6,210,209
上野,銀座線/日比谷線,赤坂見附/永田町,銀座線/丸ノ内線/有楽町線/半蔵門線/南北線,6.9,210,209
上野,銀座線/日比谷線,青山一丁目,銀座線/半蔵門線,8.2,210,209
上野,銀座線/日比谷線,外苑前,銀座線,8.9,210,209
上野,銀座線/日比谷線,表参道,銀座線/千代田線/半蔵門線,9.6,210,209
上野,銀座線/日比谷線,渋谷,銀座線/半蔵門線/副都心線,10.9,210,209
上野,銀座線/日比谷線,池袋,丸ノ内線/有楽町線/副都心線,11.2,260,252
上野,銀座線/日比谷線,新大塚,丸ノ内線,9.9,210,209
上野,銀座線/日比谷線,茗荷谷,丸ノ内線,8.7,210,209
上野,銀座線/日比谷線,後楽園,丸ノ内線/南北線,6.9,210,209
上野,銀座線/日比谷線,本郷三丁目,丸ノ内線,6.1,210,209
上野,銀座線/日比谷線,御茶ノ水,丸ノ内線,5.3,180,178
上野,銀座線/日比谷線,淡路町/新御茶ノ水,丸ノ内線/千代田線,4.5,180,178
上野,銀座線/日比谷線,大手町,丸ノ内線/東西線/千代田線/半蔵門線,3.6,180,178
上野,銀座線/日比谷線,東京,丸ノ内線,4.2,180,178
上野,銀座線/日比谷線,霞ケ関,丸ノ内線/日比谷線/千代田線,5.9,180,178
上野,銀座線/日比谷線,四ツ谷,丸ノ内線/南北線,8.2,210,209
上野,銀座線/日比谷線,四谷三丁目,丸ノ内線,9.2,210,209
上野,銀座線/日比谷線,新宿御苑前,丸ノ内線,10.1,210,209
上野,銀座線/日比谷線,新宿三丁目,丸ノ内線/副都心線,10.8,210,209
上野,銀座線/日比谷線,新宿,丸ノ内線,11.1,260,252
上野,銀座線/日比谷線,西新宿,丸ノ内線,11.9,260,252
上野,銀座線/日比谷線,中野坂上,丸ノ内線,13.0,260,252
上野,銀座線/日比谷線,新中野,丸ノ内線,14.1,260,252
上野,銀座線/日比谷線,東高円寺,丸ノ内線,15.1,260,252
上野,銀座線/日比谷線,新高円寺,丸ノ内線,16.0,260,252
上野,銀座線/日比谷線,南阿佐ケ谷,丸ノ内線,17.2,260,252
上野,銀座線/日比谷線,荻窪,丸ノ内線,18.7,260,252
上野,銀座線/日比谷線,中野新橋,丸ノ内線支線,14.3,260,252
上野,銀座線/日比谷線,中野富士見町,丸ノ内線支線,14.9,260,252
